app/(auth)/layout.tsx(1,24): error TS2307: Cannot find module 'react' or its corresponding type declarations.
app/(auth)/layout.tsx(8,10): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/(auth)/sign-in/[[...sign-in]]/page.tsx(1,24): error TS2307: Cannot find module '@clerk/nextjs' or its corresponding type declarations.
app/(auth)/sign-in/[[...sign-in]]/page.tsx(5,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(auth)/sign-in/[[...sign-in]]/page.tsx(5,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/(auth)/sign-in/[[...sign-in]]/page.tsx(14,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(auth)/sign-up/[[...sign-up]]/page.tsx(1,24): error TS2307: Cannot find module '@clerk/nextjs' or its corresponding type declarations.
app/(auth)/sign-up/[[...sign-up]]/page.tsx(5,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/(auth)/sign-up/[[...sign-up]]/page.tsx(5,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/(auth)/sign-up/[[...sign-up]]/page.tsx(14,5): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(3,24): error TS2307: Cannot find module 'react' or its corresponding type declarations.
app/[owner]/owner-skills-filter.tsx(4,57): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[owner]/owner-skills-filter.tsx(5,62): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
app/[owner]/owner-skills-filter.tsx(158,28): error TS7006: Parameter 'prev' implicitly has an 'any' type.
app/[owner]/owner-skills-filter.tsx(159,48): error TS7006: Parameter 's' implicitly has an 'any' type.
app/[owner]/owner-skills-filter.tsx(183,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[owner]/owner-skills-filter.tsx(184,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(185,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(185,64): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(187,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(200,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(202,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(204,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(206,21): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(216,41): error TS7006: Parameter 'checked' implicitly has an 'any' type.
app/[owner]/owner-skills-filter.tsx(237,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(239,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(254,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(255,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(258,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(260,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(264,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(265,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(266,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(267,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(268,19): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(269,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(270,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(271,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(272,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(273,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(274,15): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(275,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(277,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(279,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(280,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(281,31): error TS7006: Parameter 'skill' implicitly has an 'any' type.
app/[owner]/owner-skills-filter.tsx(282,26): error TS2322: Type '{ key: any; skill: any; }' is not assignable to type 'SkillCardProps'.
  Property 'key' does not exist on type 'SkillCardProps'.
app/[owner]/owner-skills-filter.tsx(284,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(287,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(334,13): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(336,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(338,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(340,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(344,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/owner-skills-filter.tsx(355,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[owner]/page.tsx(1,24): error TS2307: Cannot find module 'react' or its corresponding type declarations.
app/[owner]/page.tsx(2,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[owner]/page.tsx(3,26): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[owner]/page.tsx(4,73): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
app/[owner]/page.tsx(62,5): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[owner]/page.tsx(62,6): error TS2559: Type '{ children: any[]; }' has no properties in common with type 'ContainerProps'.
app/[owner]/page.tsx(84,8): error TS2322: Type '{ children: any; spacing: "sm"; }' is not assignable to type 'SectionProps'.
  Property 'children' does not exist on type 'SectionProps'.
app/[owner]/page.tsx(96,8): error TS2322: Type '{ children: any; spacing: "md"; }' is not assignable to type 'SectionProps'.
  Property 'children' does not exist on type 'SectionProps'.
app/[owner]/page.tsx(97,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
